Name	Start	Duration	Time Format	Type	Description
Marcador 86	0:35.209	0:00.000	decimal	Cue	
Marcador 87	0:36.649	0:00.000	decimal	Cue	
Marcador 88	0:36.823	0:00.000	decimal	Cue	
Marcador 89	0:37.073	0:00.000	decimal	Cue	
Marcador 90	0:37.383	0:00.000	decimal	Cue	
Marcador 91	0:37.613	0:00.000	decimal	Cue	
Marcador 92	0:38.529	0:00.000	decimal	Cue	
Marcador 93	0:38.753	0:00.000	decimal	Cue	
Marcador 94	0:38.969	0:00.000	decimal	Cue	
Marcador 95	0:40.093	0:00.000	decimal	Cue	
Marcador 96	0:40.409	0:00.000	decimal	Cue	
Marcador 97	0:40.648	0:00.000	decimal	Cue	
Marcador 98	0:41.763	0:00.000	decimal	Cue	
Marcador 99	0:42.023	0:00.000	decimal	Cue	
Marcador 100	0:42.298	0:00.000	decimal	Cue	
Marcador 101	0:43.233	0:00.000	decimal	Cue	
Marcador 102	0:43.513	0:00.000	decimal	Cue	
Marcador 103	0:43.813	0:00.000	decimal	Cue	
Marcador 104	0:44.093	0:00.000	decimal	Cue	
Marcador 105	0:44.379	0:00.000	decimal	Cue	
Marcador 106	0:45.064	0:00.000	decimal	Cue	
Marcador 107	0:45.484	0:00.000	decimal	Cue	
Marcador 108	0:45.693	0:00.000	decimal	Cue	
Marcador 109	0:46.453	0:00.000	decimal	Cue	
Marcador 110	0:46.734	0:00.000	decimal	Cue	
Marcador 111	0:49.753	0:00.000	decimal	Cue	
Marcador 112	0:50.033	0:00.000	decimal	Cue	
Marcador 113	0:50.683	0:00.000	decimal	Cue	
Marcador 114	0:51.098	0:00.000	decimal	Cue	
Marcador 115	0:51.613	0:00.000	decimal	Cue	
Marcador 116	0:52.019	0:00.000	decimal	Cue	
Marcador 117	0:52.423	0:00.000	decimal	Cue	
Marcador 118	0:52.909	0:00.000	decimal	Cue	
Marcador 119	0:53.333	0:00.000	decimal	Cue	
Marcador 120	0:53.793	0:00.000	decimal	Cue	
Marcador 121	0:54.403	0:00.000	decimal	Cue	
Marcador 122	0:54.843	0:00.000	decimal	Cue	
Marcador 123	0:55.213	0:00.000	decimal	Cue	
Marcador 124	0:55.669	0:00.000	decimal	Cue	
Marcador 125	0:56.253	0:00.000	decimal	Cue	
Marcador 126	0:56.673	0:00.000	decimal	Cue	
Marcador 127	0:56.904	0:00.000	decimal	Cue	
Marcador 128	0:57.109	0:00.000	decimal	Cue	
Marcador 129	0:57.513	0:00.000	decimal	Cue	
Marcador 130	0:57.883	0:00.000	decimal	Cue	
Marcador 131	0:58.249	0:00.000	decimal	Cue	
Marcador 132	0:58.833	0:00.000	decimal	Cue	
Marcador 133	0:59.273	0:00.000	decimal	Cue	
Marcador 134	0:59.783	0:00.000	decimal	Cue	
Marcador 135	1:00.083	0:00.000	decimal	Cue	
Marcador 136	1:00.479	0:00.000	decimal	Cue	
Marcador 137	1:00.833	0:00.000	decimal	Cue	
Marcador 138	1:01.268	0:00.000	decimal	Cue	
Marcador 139	1:01.468	0:00.000	decimal	Cue	
Marcador 140	1:01.694	0:00.000	decimal	Cue	
Marcador 141	1:02.083	0:00.000	decimal	Cue	
Marcador 142	1:02.453	0:00.000	decimal	Cue	
Marcador 143	1:03.223	0:00.000	decimal	Cue	
Marcador 144	1:03.923	0:00.000	decimal	Cue	
Marcador 145	1:04.243	0:00.000	decimal	Cue	
Marcador 146	1:04.519	0:00.000	decimal	Cue	
Marcador 147	1:04.629	0:00.000	decimal	Cue	
Marcador 148	1:04.894	0:00.000	decimal	Cue	
Marcador 149	1:05.210	0:00.000	decimal	Cue	
Marcador 150	1:05.683	0:00.000	decimal	Cue	
Marcador 151	1:05.859	0:00.000	decimal	Cue	
Marcador 152	1:06.243	0:00.000	decimal	Cue	
Marcador 153	1:06.473	0:00.000	decimal	Cue	
Marcador 154	1:07.054	0:00.000	decimal	Cue	
Marcador 155	1:07.508	0:00.000	decimal	Cue	
Marcador 156	1:08.053	0:00.000	decimal	Cue	
Marcador 157	1:08.264	0:00.000	decimal	Cue	
Marcador 158	1:08.913	0:00.000	decimal	Cue	
Marcador 159	1:09.109	0:00.000	decimal	Cue	
Marcador 160	1:09.474	0:00.000	decimal	Cue	
Marcador 161	1:10.073	0:00.000	decimal	Cue	
Marcador 162	1:10.269	0:00.000	decimal	Cue	
Marcador 163	1:10.673	0:00.000	decimal	Cue	
Marcador 164	1:10.884	0:00.000	decimal	Cue	
Marcador 165	1:11.060	0:00.000	decimal	Cue	
Marcador 166	1:11.493	0:00.000	decimal	Cue	
Marcador 167	1:11.653	0:00.000	decimal	Cue	
Marcador 168	1:12.204	0:00.000	decimal	Cue	
Marcador 169	1:12.653	0:00.000	decimal	Cue	
Marcador 170	1:13.623	0:00.000	decimal	Cue	
Marcador 171	1:13.939	0:00.000	decimal	Cue	
Marcador 172	1:14.178	0:00.000	decimal	Cue	
Marcador 173	1:14.573	0:00.000	decimal	Cue	
Marcador 174	1:14.833	0:00.000	decimal	Cue	
Marcador 175	1:15.064	0:00.000	decimal	Cue	
Marcador 176	1:15.323	0:00.000	decimal	Cue	
Marcador 177	1:15.803	0:00.000	decimal	Cue	
Marcador 178	1:16.013	0:00.000	decimal	Cue	
Marcador 179	1:16.203	0:00.000	decimal	Cue	
Marcador 180	1:16.733	0:00.000	decimal	Cue	
Marcador 181	1:16.973	0:00.000	decimal	Cue	
Marcador 182	1:17.383	0:00.000	decimal	Cue	
Marcador 183	1:17.659	0:00.000	decimal	Cue	
Marcador 184	1:17.838	0:00.000	decimal	Cue	
Marcador 185	1:18.274	0:00.000	decimal	Cue	
Marcador 186	1:18.503	0:00.000	decimal	Cue	
Marcador 187	1:18.823	0:00.000	decimal	Cue	
Marcador 188	1:19.223	0:00.000	decimal	Cue	
Marcador 189	1:19.489	0:00.000	decimal	Cue	
Marcador 190	1:19.983	0:00.000	decimal	Cue	
Marcador 191	1:20.224	0:00.000	decimal	Cue	
Marcador 192	1:20.453	0:00.000	decimal	Cue	
Marcador 193	1:20.930	0:00.000	decimal	Cue	
Marcador 194	1:21.143	0:00.000	decimal	Cue	
Marcador 195	1:21.333	0:00.000	decimal	Cue	
Marcador 196	1:21.773	0:00.000	decimal	Cue	
Marcador 197	1:22.003	0:00.000	decimal	Cue	
Marcador 198	1:22.189	0:00.000	decimal	Cue	
Marcador 199	1:22.668	0:00.000	decimal	Cue	
Marcador 200	1:22.843	0:00.000	decimal	Cue	
Marcador 201	1:23.423	0:00.000	decimal	Cue	
Marcador 202	1:23.613	0:00.000	decimal	Cue	
Marcador 203	1:24.053	0:00.000	decimal	Cue	
Marcador 204	1:24.543	0:00.000	decimal	Cue	
Marcador 205	1:24.773	0:00.000	decimal	Cue	
Marcador 206	1:24.933	0:00.000	decimal	Cue	
Marcador 207	1:25.263	0:00.000	decimal	Cue	
Marcador 208	1:25.463	0:00.000	decimal	Cue	
Marcador 209	1:25.633	0:00.000	decimal	Cue	
Marcador 210	1:26.043	0:00.000	decimal	Cue	
Marcador 211	1:26.233	0:00.000	decimal	Cue	
Marcador 212	1:26.933	0:00.000	decimal	Cue	
Marcador 213	1:27.113	0:00.000	decimal	Cue	
Marcador 214	1:27.303	0:00.000	decimal	Cue	
Marcador 215	1:27.863	0:00.000	decimal	Cue	
Marcador 216	1:28.109	0:00.000	decimal	Cue	
Marcador 217	1:28.674	0:00.000	decimal	Cue	
Marcador 218	1:28.853	0:00.000	decimal	Cue	
Marcador 219	1:29.433	0:00.000	decimal	Cue	
Marcador 220	1:29.643	0:00.000	decimal	Cue	
Marcador 221	1:30.199	0:00.000	decimal	Cue	
Marcador 222	1:30.413	0:00.000	decimal	Cue	
Marcador 223	1:31.134	0:00.000	decimal	Cue	
Marcador 224	1:31.323	0:00.000	decimal	Cue	
Marcador 225	1:31.853	0:00.000	decimal	Cue	
Marcador 226	1:32.064	0:00.000	decimal	Cue	
Marcador 227	1:32.273	0:00.000	decimal	Cue	
Marcador 228	1:32.798	0:00.000	decimal	Cue	
Marcador 229	1:33.013	0:00.000	decimal	Cue	
Marcador 230	1:33.244	0:00.000	decimal	Cue	
Marcador 231	1:33.753	0:00.000	decimal	Cue	
Marcador 232	1:33.964	0:00.000	decimal	Cue	
Marcador 233	1:34.153	0:00.000	decimal	Cue	
Marcador 234	1:34.504	0:00.000	decimal	Cue	
Marcador 235	1:34.823	0:00.000	decimal	Cue	
Marcador 236	1:35.259	0:00.000	decimal	Cue	
Marcador 237	1:35.593	0:00.000	decimal	Cue	
Marcador 238	1:35.843	0:00.000	decimal	Cue	
Marcador 239	1:36.228	0:00.000	decimal	Cue	
Marcador 240	1:36.593	0:00.000	decimal	Cue	
Marcador 241	1:36.804	0:00.000	decimal	Cue	
Marcador 242	1:37.033	0:00.000	decimal	Cue	
Marcador 243	1:37.333	0:00.000	decimal	Cue	
Marcador 244	1:37.633	0:00.000	decimal	Cue	
Marcador 245	1:38.018	0:00.000	decimal	Cue	
Marcador 246	1:38.303	0:00.000	decimal	Cue	
Marcador 247	1:38.683	0:00.000	decimal	Cue	
Marcador 248	1:38.878	0:00.000	decimal	Cue	
Marcador 249	1:39.213	0:00.000	decimal	Cue	
Marcador 250	1:39.403	0:00.000	decimal	Cue	
Marcador 251	1:39.668	0:00.000	decimal	Cue	
Marcador 252	1:40.024	0:00.000	decimal	Cue	
Marcador 253	1:40.233	0:00.000	decimal	Cue	
Marcador 254	1:40.443	0:00.000	decimal	Cue	
Marcador 255	1:40.884	0:00.000	decimal	Cue	
Marcador 256	1:41.094	0:00.000	decimal	Cue	
Marcador 257	1:41.248	0:00.000	decimal	Cue	
Marcador 258	1:41.564	0:00.000	decimal	Cue	
Marcador 259	1:42.023	0:00.000	decimal	Cue	
Marcador 260	1:42.304	0:00.000	decimal	Cue	
Marcador 261	1:42.529	0:00.000	decimal	Cue	
Marcador 262	1:42.793	0:00.000	decimal	Cue	
Marcador 263	1:43.073	0:00.000	decimal	Cue	
Marcador 264	1:43.498	0:00.000	decimal	Cue	
Marcador 265	1:43.883	0:00.000	decimal	Cue	
Marcador 266	1:44.164	0:00.000	decimal	Cue	
Marcador 267	1:44.533	0:00.000	decimal	Cue	
Marcador 268	1:44.953	0:00.000	decimal	Cue	
Marcador 269	1:45.433	0:00.000	decimal	Cue	
Marcador 270	1:45.659	0:00.000	decimal	Cue	
Marcador 271	1:45.833	0:00.000	decimal	Cue	
Marcador 272	1:46.078	0:00.000	decimal	Cue	
Marcador 273	1:46.623	0:00.000	decimal	Cue	
Marcador 274	1:47.133	0:00.000	decimal	Cue	
Marcador 275	1:47.343	0:00.000	decimal	Cue	
Marcador 276	1:47.554	0:00.000	decimal	Cue	
Marcador 277	1:47.783	0:00.000	decimal	Cue	
Marcador 278	1:48.014	0:00.000	decimal	Cue	
Marcador 279	1:48.453	0:00.000	decimal	Cue	
Marcador 280	1:49.079	0:00.000	decimal	Cue	
Marcador 281	1:49.434	0:00.000	decimal	Cue	
Marcador 282	1:49.684	0:00.000	decimal	Cue	
Marcador 283	1:50.014	0:00.000	decimal	Cue	
Marcador 284	1:50.383	0:00.000	decimal	Cue	
Marcador 285	1:51.084	0:00.000	decimal	Cue	
Marcador 286	1:51.283	0:00.000	decimal	Cue	
Marcador 287	1:51.384	0:00.000	decimal	Cue	
Marcador 288	1:51.683	0:00.000	decimal	Cue	
